"id","game_id","genre_id"
1,1,1
2,1,4
3,2,1
4,2,4
5,3,2
6,3,4
7,4,1
8,4,4
9,5,1
10,6,1
11,6,4
12,7,1
13,8,7
14,9,1
15,10,1
16,10,2
17,11,1
18,12,1
19,13,1
20,13,4
21,14,1
22,14,2
23,14,4
24,15,1
25,16,1
26,17,6
27,18,1
28,18,7
29,19,1
30,19,2
31,19,4
32,20,1
33,21,1
34,21,2
35,22,1
36,23,8
37,24,1
38,25,1
39,25,2
40,25,4
41,25,8
42,26,1
43,26,4
44,27,2
45,27,3
46,28,1
47,28,8
48,29,1
49,29,4
50,29,8
51,30,1
52,31,1
53,32,1
54,33,1
55,34,1
56,34,4
57,35,5
58,35,8
59,36,5
60,36,8
61,37,5
62,37,8
63,38,1
64,38,2
65,38,4
67,39,1
68,40,4
69,41,1
70,41,2
71,41,4
72,42,1
73,42,2
74,42,4
75,43,1
76,44,1
77,44,8
78,45,1
79,46,1
80,46,4
81,46,7
