"id","receipt_date","user_id"
1,2007-09-01,1
2,2008-06-24,1
3,2017-09-11,2
4,2012-05-22,2
5,2014-08-31,2
6,2010-04-03,3
7,2011-07-28,3
8,2017-02-15,3
9,2020-09-13,4
10,2018-06-30,4
11,2017-08-08,4
12,2015-04-21,5
13,2013-11-01,5
14,2012-12-03,5
15,2017-10-18,6
16,2017-10-18,6
17,2018-09-14,6
18,2015-01-21,7
19,2016-07-09,7
20,2016-07-09,7
21,2017-05-01,8
22,2017-05-01,8
23,2019-08-16,8
24,2022-12-18,9
25,2014-05-13,9
26,2013-07-25,9
27,2015-10-31,10
28,2011-08-26,10
29,2012-09-18,10
30,2019-09-21,11
31,2016-06-17,11
32,2017-05-30,11
33,2018-07-17,12
34,2009-11-11,12
35,2009-11-11,12
36,2011-07-07,13
37,2015-09-25,13
38,2015-09-25,13
39,2017-05-01,14
40,2018-06-17,14
41,2019-04-01,14
42,2019-04-01,15
43,2020-03-16,15
44,2020-03-21,15
45,2018-02-06,16
46,2018-02-06,16
47,2019-07-14,16
48,2007-12-25,17
49,2009-09-30,17
50,2009-09-30,17
51,2009-09-30,18
52,2011-05-06,18
53,2012-06-19,18
54,2015-08-30,19
55,2015-08-30,19
56,2016-11-20,19
57,2016-11-20,20
58,2017-12-01,20
59,2009-05-29,21
60,2013-06-17,21
61,2013-06-17,21
62,2016-09-25,22
63,2016-09-25,22
64,2017-11-05,22
65,2018-08-16,23
66,2018-08-16,23
67,2019-11-30,23
68,2020-08-28,24
74,2023-06-22,2
75,2023-06-22,2
80,2023-06-23,25
81,2023-06-23,25
