"id","sub_genre_name","genre_id"
1,Arcade & Rhythm,1
2,Fighting & Martial Arts,1
3,First-Person Shooter,1
4,Hack & Slash,1
5,Platformer & Runner,1
6,Third-Person Shooter,1
7,Action RPG,2
8,Adventure RPG,2
9,JRPG,2
10,Party-Based,2
11,Rogue-Like,2
12,Strategy RPG,2
13,Turn-Based,2
14,Card & Board,3
15,City & Settlement,3
16,Grand & 4x,3
17,Military,3
18,Real-Time Strategy,3
19,Tower Defense,3
20,Turn-Based Strategy,3
21,Adventure RPG,4
22,Casual,4
23,Hidden Object,4
24,Metroidvania,4
25,Puzzle,4
26,Story-Rich,4
27,Visual Novel,4
28,Building & Automation,5
29,Dating,5
30,Farming & Crafting,5
31,Hobby & Job,5
32,Life & Immersive,5
33,Sandbox & Physics,5
34,Space & Flight,5
35,All Sports,6
36,Fishing & Hunting,6
37,Individual Sports,6
38,Racing,6
39,Racing Sim,6
40,Sports Sim,6
41,Team Sports,6
42,Survival Horror,7
43,Hentai,8
44,Sexual Content,8
45,Nudity,8
46,Language,8
